       0          71.99368194         625.55751531       -4527.08079059       -3901.52327528
     100          64.68929464         562.08924631       -4464.30521481       -3902.21596850
     200          59.26234200         514.93412213       -4417.65526119       -3902.72113906
     300          56.62733142         492.03835369       -4394.45761140       -3902.41925771
     400          59.05231702         513.10920223       -4415.00195546       -3901.89275323
     500          60.11214716         522.31813131       -4424.10537657       -3901.78724526
     600          56.55446482         491.40521139       -4393.61490809       -3902.20969670
     700          58.49642022         508.27898086       -4410.43319534       -3902.15421448
     800          58.91478868         511.91421009       -4414.13690822       -3902.22269812
     900          57.72669244         501.59076905       -4403.46853413       -3901.87776508
    1000          60.24508534         523.47323926       -4425.11992013       -3901.64668087
