       0          72.64160016          23.16879686        -160.48438434        -137.31558748
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    3000          55.99963527          17.86089749        -155.23428941        -137.37339192
    4000          52.04664039          16.60010292        -153.99314414        -137.39304122
    5000          51.65574628          16.47542854        -153.90665955        -137.43123101
    6000          56.70120733          18.08466157        -155.55511330        -137.47045174
    7000          48.41698602          15.44243672        -152.80367184        -137.36123512
    8000          53.50714526          17.06592609        -154.52475825        -137.45883216
    9000          50.93454736          16.24540454        -153.56667954        -137.32127500
   10000          53.02319859          16.91157291        -154.37767756        -137.46610465
